feature,importance,return_horizon
eps_surprise_pct,0.14016093096139579,1
operating_income_diff_yoy,0.10133456265514267,1
revenue_growth_yoy_pct,0.07152320448657999,1
momentum_10d,0.07134397405661895,1
revenue_diff_yoy,0.06115740577110765,1
net_income_growth_qoq_pct,0.05140099221218136,1
estimated_eps,0.049051200906446685,1
net_income_growth_yoy_pct,0.04713011246559553,1
actual_operating_income,0.0438053348000073,1
net_income_margin,0.04087155328622012,1
revenue_growth_qoq_pct,0.03689906527904987,1
actual_net_income,0.03623961105944478,1
volatility_10d,0.030542160665701965,1
operating_income_growth_yoy_pct,0.02955375642318765,1
net_income_diff_qoq,0.028282020965536444,1
volatility_30d,0.026597169486226025,1
actual_revenue,0.026242791548718794,1
momentum_30d,0.024910349773347364,1
operating_income_growth_qoq_pct,0.023940428265711917,1
net_income_diff_yoy,0.0193183466899724,1
actual_eps,0.01793291421554299,1
revenue_diff_qoq,0.011182487157524186,1
operating_income_diff_qoq,0.01057962686873978,1
eps_surprise_pct,0.12822319122958484,3
revenue_diff_yoy,0.12200539067704706,3
revenue_growth_yoy_pct,0.09244025191093268,3
momentum_10d,0.07929624325266614,3
momentum_30d,0.062088429723312875,3
net_income_margin,0.05633684795958829,3
operating_income_diff_yoy,0.054024150243033704,3
estimated_eps,0.047207649306364285,3
actual_revenue,0.0436220757700631,3
net_income_growth_qoq_pct,0.03740385335363778,3
operating_income_growth_qoq_pct,0.03460046529236242,3
revenue_growth_qoq_pct,0.032557542221519034,3
net_income_diff_yoy,0.03194982101145899,3
actual_net_income,0.027096244902869517,3
volatility_10d,0.02392205695848077,3
net_income_diff_qoq,0.019607610605748484,3
operating_income_growth_yoy_pct,0.01917288637812134,3
net_income_growth_yoy_pct,0.018804035133462696,3
actual_operating_income,0.016718793880831445,3
volatility_30d,0.01647577951807374,3
revenue_diff_qoq,0.015080067890097516,3
operating_income_diff_qoq,0.01215379783492801,3
actual_eps,0.009212814945815393,3
eps_surprise_pct,0.1417133911177283,5
revenue_diff_yoy,0.1339400114449479,5
momentum_10d,0.08619320472884695,5
net_income_growth_qoq_pct,0.06969217068405599,5
net_income_margin,0.061047410894964224,5
volatility_30d,0.05237232926950544,5
revenue_growth_yoy_pct,0.05046101165475434,5
momentum_30d,0.04844737075177759,5
operating_income_growth_yoy_pct,0.038709288023349775,5
operating_income_diff_yoy,0.03669279121666348,5
actual_eps,0.03600450827484079,5
actual_revenue,0.0347508067112767,5
net_income_diff_yoy,0.03473356002274336,5
operating_income_diff_qoq,0.025926144984740447,5
volatility_10d,0.025833613746799242,5
actual_net_income,0.02381971571689789,5
net_income_diff_qoq,0.021070498111689696,5
revenue_growth_qoq_pct,0.016460090322096204,5
estimated_eps,0.015207503213308753,5
revenue_diff_qoq,0.015121364925391526,5
operating_income_growth_qoq_pct,0.012235436833217591,5
net_income_growth_yoy_pct,0.009965264011330665,5
actual_operating_income,0.009602513339073257,5
eps_surprise_pct,0.14827056841735342,10
revenue_diff_yoy,0.09887423290606802,10
momentum_10d,0.07756643632905683,10
net_income_margin,0.06207926521806847,10
operating_income_diff_yoy,0.06188314035639194,10
volatility_30d,0.06069596936889613,10
volatility_10d,0.05525466319844741,10
momentum_30d,0.05027975996922975,10
net_income_diff_yoy,0.04527316308454773,10
actual_revenue,0.04186136188877453,10
revenue_growth_yoy_pct,0.03829724452365404,10
operating_income_growth_yoy_pct,0.037707318374411235,10
net_income_growth_qoq_pct,0.03607787159446404,10
operating_income_growth_qoq_pct,0.03507278776260233,10
actual_net_income,0.03418165613751688,10
estimated_eps,0.03174130291845925,10
net_income_growth_yoy_pct,0.019678873315618534,10
actual_eps,0.017731352072561036,10
net_income_diff_qoq,0.017457682390910112,10
revenue_growth_qoq_pct,0.009590581488532911,10
operating_income_diff_qoq,0.00862724257029196,10
actual_operating_income,0.006747052803275626,10
revenue_diff_qoq,0.0050504733108679145,10
