return_horizon,n_observations,mae,rmse,r2
1,296,0.067623619027246,0.09282358491318848,-0.3453394879927303
3,296,0.07627049835443063,0.10465253171521492,-0.43320531824042474
5,295,0.0715534128260612,0.10022625981427122,-0.12715364457289224
10,295,0.07410597031158911,0.09734489731273942,0.043520955216304724
